latency_ms,status,error
238.3447999600321,200,
353.95070002414286,200,
482.22280014306307,200,
606.3308999873698,200,
731.3605002127588,200,
855.6900001130998,200,
985.2885999716818,200,
1101.8783999606967,200,
1221.1452000774443,200,
1347.2564001567662,200,
1470.0037001166493,200,
1591.1510000005364,200,
1722.2097001504153,200,
1837.741799885407,200,
1958.9706999249756,200,
2084.6250001341105,200,
2208.3689998835325,200,
2531.2063000164926,200,
2656.888899859041,200,
2784.0207000263035,200,
2903.077600058168,200,
3025.410099886358,200,
3160.6590999290347,200,
3292.417300166562,200,
3402.7313999831676,200,
3529.75959982723,200,
3649.878100026399,200,
3770.916699897498,200,
3900.5130000878125,200,
4033.0586000345647,200,
4153.439000016078,200,
4277.737900149077,200,
4165.941499872133,200,
4165.115799987689,200,
4162.683499976993,200,
4159.826300106943,200,
4166.972599923611,200,
4161.35840001516,200,
4160.179099999368,200,
4165.126700187102,200,
4164.537700125948,200,
4164.874099893495,200,
4156.528600025922,200,
4161.394200054929,200,
4158.832299988717,200,
4160.2308000437915,200,
4162.258900003508,200,
4159.306599991396,200,
4163.88490004465,200,
3958.2494001369923,200,
3954.630699940026,200,
3948.6980999354273,200,
3958.3087998908013,200,
3961.0505998134613,200,
3955.1361999474466,200,
3939.2711999826133,200,
3955.551899969578,200,
3954.7260999679565,200,
3957.285200012848,200,
3956.3102000392973,200,
3949.575199978426,200,
3952.641600044444,200,
3972.847699886188,200,
3942.403699969873,200,
3956.786499824375,200,
3954.199699917808,200,
3954.3803001288325,200,
3952.1211001556367,200,
3941.8505001813173,200,
3948.2938998844475,200,
3949.1403000429273,200,
3947.796800173819,200,
3953.1857999973,200,
3948.3564000111073,200,
3951.864500064403,200,
3945.7135000266135,200,
3943.008199799806,200,
3946.9960001297295,200,
3949.672100134194,200,
3951.602099929005,200,
3949.183100135997,200,
3953.0072999186814,200,
3950.1794998068362,200,
3951.914499979466,200,
3959.3379001598805,200,
3941.2644000258297,200,
3952.724599977955,200,
3945.347100030631,200,
3941.4893998764455,200,
3945.477900095284,200,
4040.573700098321,200,
4033.89020008035,200,
4047.117399983108,200,
4037.1367998886853,200,
4023.5819001682103,200,
4035.6585001572967,200,
4032.8854999970645,200,
4040.465099969879,200,
4044.054599944502,200,
4042.9444999899715,200,
4049.9701001681387,200,
4048.525399994105,200,
4043.456999817863,200,
4048.9733000285923,200,
4057.5755999889225,200,
4050.5532999522984,200,
4052.773700095713,200,
4058.4963001310825,200,
4056.024400051683,200,
4065.2203999925405,200,
4054.271399974823,200,
4056.163299828768,200,
4058.633200125769,200,
4077.1017998922616,200,
4055.119300028309,200,
4058.8742999825627,200,
4050.487499916926,200,
4067.23939999938,200,
4051.9048999994993,200,
4065.824800170958,200,
4076.3439999427646,200,
4076.9547999370843,200,
3978.227100102231,200,
3985.144400037825,200,
3979.9737001303583,200,
3984.618700109422,200,
3978.430400136858,200,
3991.6905001737177,200,
3993.274400010705,200,
3990.971599938348,200,
3987.3782000504434,200,
3990.6711999792606,200,
3988.482200074941,200,
3987.4017001129687,200,
3998.021600069478,200,
3982.412099838257,200,
3971.1122000589967,200,
3979.17850012891,200,
3982.4852000456303,200,
3979.6180999837816,200,
3979.7813000623137,200,
3971.22470010072,200,
3979.867500020191,200,
3974.0402000024915,200,
3983.748500002548,200,
3954.8553999047726,200,
3980.5875001475215,200,
3982.82379982993,200,
3978.0193001497537,200,
3847.5794999394566,200,
3847.635499900207,200,
3859.058199916035,200,
3835.3850001003593,200,
3840.7766001764685,200,
3839.27490003407,200,
3837.5070998445153,200,
3840.266600018367,200,
4962.837900035083,200,
3964.847099967301,200,
3960.2055998984724,200,
3954.394100001082,200,
3959.047600161284,200,
3958.3748998120427,200,
3960.8249999582767,200,
3959.39560001716,200,
3963.8652000576258,200,
3953.452100045979,200,
3967.578300042078,200,
3975.7974999956787,200,
3974.3487001396716,200,
3959.553000051528,200,
3962.9120000172406,200,
3967.9606000427157,200,
3974.8869000468403,200,
3978.5730000585318,200,
3979.8987999092788,200,
3963.3067999966443,200,
3981.099600205198,200,
3977.8609999921173,200,
3964.899299899116,200,
3976.1896999552846,200,
3979.3472001329064,200,
3978.2662999350578,200,
3957.1805000305176,200,
3978.887400124222,200,
3992.9285999387503,200,
3979.0776998270303,200,
3975.0341000035405,200,
3983.922200044617,200,
3977.2582000587136,200,
3995.642200112343,200,
3979.4197001028806,200,
3976.8177000805736,200,
3976.934500038624,200,
3981.1434000730515,200,
3976.8709999043494,200,
3977.279699873179,200,
3981.9833000656217,200,
3974.4138999376446,200,
3971.6016000602394,200,
3962.472500046715,200,
3970.210899831727,200,
3975.975399836898,200,
3977.976100053638,200,
3979.1290999855846,200,
3968.008300056681,200,
3968.785800039768,200,
3970.147999934852,200,
3978.3226000145078,200,
3967.286199796945,200,
3969.8890999425203,200,
3983.298199949786,200,
3976.6647999640554,200,
3976.6605999320745,200,
4001.557799987495,200,
4009.0540000237525,200,
3990.785700036213,200,
3972.788500133902,200,
4023.8170998636633,200,
3989.971000002697,200,
3987.329399911687,200,
3999.3787999264896,200,
3975.8299998939037,200,
3990.6709999777377,200,
3991.8956998735666,200,
3989.997399970889,200,
3986.3803000189364,200,
3992.174099897966,200,
3988.72260004282,200,
3983.0187999177724,200,
3984.8428999539465,200,
3996.3505999185145,200,
3994.0481998492032,200,
3986.5129000972956,200,
3986.75369983539,200,
3980.2121000830084,200,
3979.5136998873204,200,
3977.7879999019206,200,
3980.5813999846578,200,
3977.8079001698643,200,
3970.0158000923693,200,
3976.2426000088453,200,
3972.6344998925924,200,
3958.685399964452,200,
3963.4515000507236,200,
3965.871599968523,200,
3942.700000014156,200,
3934.916300000623,200,
3949.2222000844777,200,
3959.131999872625,200,
3914.189600152895,200,
3947.539299959317,200,
3943.65209992975,200,
3939.568599918857,200,
3945.9272001404315,200,
3946.690799901262,200,
3952.884300146252,200,
3945.446099853143,200,
3942.0851999893785,200,
3952.258799923584,200,
3949.896600097418,200,
3940.707700094208,200,
3949.709599837661,200,
3939.96679992415,200,
3939.807999879122,200,
3949.3740999605507,200,
3951.009599957615,200,
3956.932900007814,200,
3946.8912999145687,200,
3965.578699950129,200,
3945.635600015521,200,
3957.846899982542,200,
3957.2294000536203,200,
3950.2252999227494,200,
3972.829000093043,200,
3966.0984999500215,200,
3964.4337000790983,200,
3970.1535999774933,200,
3958.5187998600304,200,
3966.175999958068,200,
3968.551700003445,200,
3961.297399830073,200,
3973.800700157881,200,
3971.7534000519663,200,
3972.73760009557,200,
3971.2101998738945,200,
3974.6542000211775,200,
3972.7196998428553,200,
3967.0594001654536,200,
3972.2076000180095,200,
3973.2043999247253,200,
3965.2642998844385,200,
3968.0579998530447,200,
3972.8202000260353,200,
3978.2742999959737,200,
3969.8962999973446,200,
3976.99710004963,200,
3967.1203000470996,200,
3968.851799843833,200,
3964.5637997891754,200,
3969.407199881971,200,
3951.8307999242097,200,
3970.412499969825,200,
3970.485700061545,200,
3963.1185000762343,200,
3967.712299898267,200,
3943.948599975556,200,
3960.8917001169175,200,
3955.545200034976,200,
3952.210200019181,200,
3955.9196000918746,200,
3951.039999956265,200,
3964.506199816242,200,
3950.7091999985278,200,
3950.547399930656,200,
3948.205899912864,200,
3943.270499818027,200,
3942.931099794805,200,
3938.521899981424,200,
3938.9633999671787,200,
3942.0249999966472,200,
3944.0389999654144,200,
3943.831600015983,200,
3934.1591000556946,200,
3938.3582000155,200,
3941.4638997986913,200,
3935.349600156769,200,
3938.466199906543,200,
3940.9187000710517,200,
3943.078599870205,200,
3937.786800088361,200,
3941.148000070825,200,
