latency_ms,status,error
231.9863000884652,200,
355.36610009148717,200,
489.4908999558538,200,
604.8137000761926,200,
730.1713000051677,200,
842.1910000033677,200,
972.0821001101285,200,
1098.7235000357032,200,
1219.564399914816,200,
1349.4790000841022,200,
1471.9674999359995,200,
1601.3371997978538,200,
1716.7485000099987,200,
1844.6237999014556,200,
1965.5534999910742,200,
2095.7572001498193,200,
2541.7218999937177,200,
2673.7727001309395,200,
2785.1898001972586,200,
2917.6248000003397,200,
3036.06679989025,200,
3174.066999927163,200,
3281.597000081092,200,
3412.174900062382,200,
3548.462700098753,200,
3661.472799954936,200,
3776.0666999965906,200,
3907.0096001960337,200,
4034.2105000745505,200,
4144.570800010115,200,
4279.874299885705,200,
4405.477500054985,200,
4294.998600147665,200,
4293.420600006357,200,
4286.398600088432,200,
4290.763800032437,200,
4288.443899946287,200,
4314.63579996489,200,
4298.646199982613,200,
4289.05940009281,200,
4286.700699944049,200,
4286.921099992469,200,
4295.206299982965,200,
4286.501500057057,200,
4291.785100009292,200,
4282.715399982408,200,
4285.661099944264,200,
4297.386400168762,200,
3960.7996998820454,200,
3955.634400015697,200,
3960.697100032121,200,
3952.514600008726,200,
3954.173600068316,200,
3953.3583999145776,200,
3951.4532000757754,200,
3957.569100195542,200,
3944.149399874732,200,
3961.736800149083,200,
3956.713099963963,200,
3958.8289000093937,200,
3943.762900074944,200,
3965.0642999913543,200,
3951.0937000159174,200,
3950.6032997742295,200,
3950.8412999566644,200,
3957.3866999708116,200,
3955.1568999886513,200,
3960.9085000120103,200,
3957.086500013247,200,
3936.2582999747247,200,
3951.574500184506,200,
3960.5248998850584,200,
3958.6851000785828,200,
3955.3472998086363,200,
3958.387899911031,200,
3959.3730999622494,200,
3960.0461998488754,200,
3964.925500098616,200,
3960.1442001294345,200,
3946.9963000155985,200,
3957.1803000289947,200,
3963.4289001114666,200,
3974.46330008097,200,
3963.107400108129,200,
3965.5966002028435,200,
3957.6415999326855,200,
3970.4130000900477,200,
3965.9021999686956,200,
3956.631900044158,200,
4040.2915999293327,200,
4050.7505000568926,200,
4041.3915999233723,200,
4061.203399905935,200,
4038.2901998236775,200,
4053.0498998705298,200,
4041.9987998902798,200,
4052.2678999695927,200,
4046.1687000934035,200,
4047.380500007421,200,
4046.154099982232,200,
4045.8986000157893,200,
4056.110000004992,200,
4040.6617999542505,200,
4042.549000121653,200,
4047.2497001755983,200,
4046.357600018382,200,
4040.1709000580013,200,
4040.097299963236,200,
4034.919199999422,200,
4041.7674998752773,200,
4048.5267001204193,200,
4041.0468000918627,200,
4041.9870000332594,200,
4035.3061999194324,200,
4024.5839001145214,200,
4041.9210998807102,200,
4034.9344999995083,200,
4042.028799885884,200,
4033.7447999045253,200,
4030.389199964702,200,
4037.0132999960333,200,
3950.278100091964,200,
3939.5838000345975,200,
3948.3197999652475,200,
3931.6967998165637,200,
3945.101800141856,200,
3939.4284000154585,200,
3945.8284000866115,200,
3948.676799889654,200,
3952.890699962154,200,
3947.7984998375177,200,
3944.8887000326067,200,
3954.744099872187,200,
3942.62359989807,200,
3955.5079999845475,200,
3944.696400081739,200,
3946.4147000107914,200,
3947.8771002031863,200,
3947.591800009832,200,
3948.247800115496,200,
3954.62750014849,200,
3945.5945000518113,200,
3951.7078001517802,200,
3956.0333001427352,200,
3947.23409996368,200,
3951.389299938455,200,
3950.226299930364,200,
3951.0814999230206,200,
3953.7987001240253,200,
3961.3080001436174,200,
3960.9666999895126,200,
3967.3401000909507,200,
3961.5909999702126,200,
3958.2660000305623,200,
3972.5995999760926,200,
3961.9789998978376,200,
3967.5249999854714,200,
3968.648799927905,200,
3971.365299774334,200,
3970.477299997583,200,
3962.093099951744,200,
3954.4742999132723,200,
3960.8597999904305,200,
3962.8173999954015,200,
3956.445600138977,200,
3954.0812000632286,200,
3954.1505998931825,200,
3967.828900087625,200,
3961.8417001329362,200,
3970.3476999420673,200,
3959.006799850613,200,
3972.9106000158936,200,
3964.7810000460595,200,
3964.018599828705,200,
3956.4577999990433,200,
3959.6899000462145,200,
3968.786899931729,200,
3964.041299885139,200,
3971.329699968919,200,
3958.2470001187176,200,
3960.8415998518467,200,
3956.3476000912488,200,
3953.066200017929,200,
3955.948800081387,200,
3959.010499995202,200,
3957.5472001452,200,
3955.6913000997156,200,
3954.87939985469,200,
3957.030599936843,200,
3954.93539981544,200,
3961.656400002539,200,
3954.030399909243,200,
3971.6646000742912,200,
3964.228800032288,200,
3965.529899811372,200,
3962.448399979621,200,
4010.8757000416517,200,
4019.1045000683516,200,
4020.3156999778003,200,
4024.192600045353,200,
4018.254900118336,200,
4013.437499990687,200,
4028.7786999251693,200,
4010.673200013116,200,
4017.833400052041,200,
4029.9847999121994,200,
4019.712199922651,200,
4016.704000066966,200,
4017.7692999131978,200,
4031.0741998255253,200,
4023.1489001307636,200,
4040.4336999636143,200,
4033.5303999017924,200,
4100.759400054812,200,
4107.7095998916775,200,
4102.33570006676,200,
4105.237600160763,200,
4101.364800008014,200,
4115.369499893859,200,
