label,env_note,concurrency,duration_s,attempts,successes,errors,rps_success,p50_ms,p95_ms,p99_ms,max_ms,error_rate
m3-c5,http://9.205.27.129,5,60.447,481,481,0,7.957,621.24,647.05,676.04,941.37,0.0
m3-c50,http://9.205.27.129,50,65.425,599,599,0,9.156,5487.81,5548.71,5557.24,5793.57,0.0
m3-c250,http://9.205.27.129,250,87.102,797,797,0,9.15,27042.98,27378.71,27467.19,27764.29,0.0
health-c50,http://9.205.27.129,50,86.632,3043,2975,68,34.341,438.27,3229.79,21046.82,45154.8,0.0223
health-c50-debug,http://9.205.27.129,50,90.003,3020,2949,71,32.765,390.98,3264.83,21047.88,45183.11,0.0235
health-c50-w5,http://9.205.27.129,50,101.545,3482,3418,64,33.66,402.68,2303.21,21083.92,45186.4,0.0184
health-c50-probe,http://9.205.27.129,50,85.557,3219,3159,60,36.923,383.81,1107.43,21044.62,45173.71,0.0186
m3-azure-c4-render-compare,http://9.205.27.129,4,60.528,408,408,0,6.741,587.0,614.91,627.57,909.38,0.0
