latency_ms,status,error
620.3558000270277,200,
622.3107000114396,200,
616.3728000828996,200,
938.1667000707239,200,
941.3722000317648,200,
620.6425999989733,200,
647.0513000385836,200,
648.6088000237942,200,
616.8705999152735,200,
644.4420999614522,200,
617.159100016579,200,
628.6613999400288,200,
641.595600056462,200,
620.0428999727592,200,
622.5106000201777,200,
613.2310000248253,200,
619.4361000088975,200,
623.902199906297,200,
614.0766999451444,200,
628.0507000628859,200,
626.1033000191674,200,
615.2537999441847,200,
629.2685000225902,200,
618.8632000703365,200,
612.8303000004962,200,
617.5888000288978,200,
614.4149999599904,200,
616.6758999461308,200,
626.4362999936566,200,
619.3851999705657,200,
614.6022999892011,200,
618.7397000612691,200,
618.4687000932172,200,
615.2550999540836,200,
623.5303999856114,200,
618.2711001019925,200,
618.9248999580741,200,
636.7084999801591,200,
619.6769999805838,200,
614.5345999393612,200,
627.9611000791192,200,
617.9436999373138,200,
614.9240999948233,200,
624.9107000185177,200,
617.3668999690562,200,
627.2655000211671,200,
628.859999938868,200,
624.0453000646085,200,
622.5781999528408,200,
622.066400013864,200,
617.7099000196904,200,
621.073400019668,200,
633.2128000212833,200,
623.4139000298455,200,
619.2603999515995,200,
619.017600081861,200,
624.758500023745,200,
625.3942000912502,200,
623.7129999790341,200,
628.3593999687582,200,
631.6281999461353,200,
620.651000062935,200,
618.6646000714973,200,
621.2354000890628,200,
625.1979999942705,200,
634.7884999122471,200,
630.2167000249028,200,
616.3478000089526,200,
634.9723000312224,200,
626.5715999761596,200,
618.9300999976695,200,
619.0699998987839,200,
616.8741999426857,200,
623.602700070478,200,
627.1433000219986,200,
617.0427999459207,200,
628.9736999897286,200,
619.5541999768466,200,
620.2690999489278,200,
625.1299000578001,200,
620.1549000106752,200,
618.284699972719,200,
619.9553000042215,200,
620.1316000660881,200,
620.4258999787271,200,
634.6266000764444,200,
621.7384000774473,200,
622.1171000506729,200,
619.8602999793366,200,
622.5570000242442,200,
633.2677999744192,200,
620.5816000001505,200,
631.8592000752687,200,
638.7610000092536,200,
623.0528999585658,200,
628.3272999571636,200,
633.7435999885201,200,
625.4300000146031,200,
635.5878999456763,200,
623.9650000352412,200,
621.6474999673665,200,
637.3234000056982,200,
617.3837999813259,200,
625.184900010936,200,
638.0700999870896,200,
618.7113999621943,200,
623.2926999218762,200,
636.056499904953,200,
613.36019996088,200,
625.1750000519678,200,
619.4348999997601,200,
616.2569000152871,200,
624.0821999963373,200,
618.4346000663936,200,
621.8898999504745,200,
627.7789999730885,200,
626.0179999517277,200,
612.9089000169188,200,
616.906899958849,200,
623.3055000193417,200,
619.8691000463441,200,
618.6354000819847,200,
626.0936999460682,200,
625.6924000335857,200,
623.1172999832779,200,
618.7528000446036,200,
616.2747000344098,200,
624.7634999454021,200,
625.7335999980569,200,
616.5357000427321,200,
617.9386000148952,200,
628.394200000912,200,
618.0381000740454,200,
616.3022998953238,200,
620.743399951607,200,
617.469200049527,200,
622.4457999924198,200,
620.301999966614,200,
614.7251999936998,200,
623.3300000894815,200,
621.0932999383658,200,
616.3663000334054,200,
624.3792000459507,200,
617.976599955,200,
615.8458999125287,200,
620.4599000047892,200,
621.2532999925315,200,
626.4312999555841,200,
624.7237999923527,200,
623.5162999946624,200,
621.0863000014797,200,
617.6734999753535,200,
627.0252999383956,200,
630.1782999653369,200,
624.5365999639034,200,
641.7990999761969,200,
617.2722999472171,200,
624.7432000236586,200,
632.6466000173241,200,
632.8424999956042,200,
622.4390000570565,200,
639.6513000363484,200,
630.8670000871643,200,
618.6164000537246,200,
619.1960999276489,200,
618.6287000309676,200,
623.0749000096694,200,
618.4467999264598,200,
619.0479999640957,200,
618.5792000032961,200,
617.1281000133604,200,
617.8357000462711,200,
617.2421999508515,200,
620.5871000420302,200,
615.2865000767633,200,
620.3012999612838,200,
623.200900037773,200,
616.7716000927612,200,
633.1518000224605,200,
626.1748999822885,200,
617.0501000015065,200,
616.7247999692336,200,
621.1593999760225,200,
634.1341000515968,200,
